dates,Count
2014-08-01,32353
2014-08-02,28678
2014-08-03,23146
2014-08-04,24952
2014-08-05,28094
2014-08-06,30495
2014-08-07,32759
2014-08-08,30411
2014-08-09,26286
2014-08-10,20584
2014-08-11,22632
2014-08-12,29646
2014-08-13,29788
2014-08-14,30457
2014-08-15,28974
2014-08-16,26234
2014-08-17,21209
2014-08-18,21956
2014-08-19,24834
2014-08-20,27955
2014-08-21,32304
2014-08-22,29512
2014-08-23,27097
2014-08-24,22036
2014-08-25,22093
2014-08-26,24550
2014-08-27,27018
2014-08-28,28597
2014-08-29,27424
2014-08-30,23930
2014-08-31,23271
